Year,RoundNumber,EventName,EventDate,DriverNumber,Abbreviation,DriverId,FullName,TeamName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status
2018,2,Bahrain Grand Prix,2018-04-08,55,SAI,sainz,Carlos Sainz,Renault,10.0,,,0 days 00:01:29.893000,0 days 00:01:29.802000,0 days 00:01:29.986000,,
2018,2,Bahrain Grand Prix,2018-04-08,28,HAR,brendon_hartley,Brendon Hartley,Toro Rosso,11.0,,,0 days 00:01:30.412000,0 days 00:01:30.105000,,,
2018,2,Bahrain Grand Prix,2018-04-08,11,PER,perez,Sergio Perez,Force India,12.0,,,0 days 00:01:30.218000,0 days 00:01:30.156000,,,
2018,2,Bahrain Grand Prix,2018-04-08,14,ALO,alonso,Fernando Alonso,McLaren,13.0,,,0 days 00:01:30.530000,0 days 00:01:30.212000,,,
2018,2,Bahrain Grand Prix,2018-04-08,2,VAN,vandoorne,Stoffel Vandoorne,McLaren,14.0,,,0 days 00:01:30.479000,0 days 00:01:30.525000,,,
2018,2,Bahrain Grand Prix,2018-04-08,33,VER,max_verstappen,Max Verstappen,Red Bull Racing,15.0,,,0 days 00:01:29.374000,,,,
2018,2,Bahrain Grand Prix,2018-04-08,8,GRO,grosjean,Romain Grosjean,Haas F1 Team,16.0,,,0 days 00:01:30.530000,,,,
2018,2,Bahrain Grand Prix,2018-04-08,9,ERI,ericsson,Marcus Ericsson,Sauber,17.0,,,0 days 00:01:31.063000,,,,
2018,2,Bahrain Grand Prix,2018-04-08,35,SIR,sirotkin,Sergey Sirotkin,Williams,18.0,,,0 days 00:01:31.414000,,,,
2018,2,Bahrain Grand Prix,2018-04-08,16,LEC,leclerc,Charles Leclerc,Sauber,19.0,,,0 days 00:01:31.420000,,,,
2018,2,Bahrain Grand Prix,2018-04-08,18,STR,stroll,Lance Stroll,Williams,20.0,,,0 days 00:01:31.503000,,,,
2018,3,Chinese Grand Prix,2018-04-15,5,VET,vettel,Sebastian Vettel,Ferrari,1.0,,,0 days 00:01:32.171000,0 days 00:01:32.385000,0 days 00:01:31.095000,,
2018,3,Chinese Grand Prix,2018-04-15,7,RAI,raikkonen,Kimi Räikkönen,Ferrari,2.0,,,0 days 00:01:32.474000,0 days 00:01:32.286000,0 days 00:01:31.182000,,
2018,3,Chinese Grand Prix,2018-04-15,77,BOT,bottas,Valtteri Bottas,Mercedes,3.0,,,0 days 00:01:32.921000,0 days 00:01:32.063000,0 days 00:01:31.625000,,
2018,3,Chinese Grand Prix,2018-04-15,44,HAM,hamilton,Lewis Hamilton,Mercedes,4.0,,,0 days 00:01:33.283000,0 days 00:01:31.914000,0 days 00:01:31.675000,,
2018,3,Chinese Grand Prix,2018-04-15,33,VER,max_verstappen,Max Verstappen,Red Bull Racing,5.0,,,0 days 00:01:32.932000,0 days 00:01:32.809000,0 days 00:01:31.796000,,
2018,3,Chinese Grand Prix,2018-04-15,3,RIC,ricciardo,Daniel Ricciardo,Red Bull Racing,6.0,,,0 days 00:01:33.877000,0 days 00:01:32.688000,0 days 00:01:31.948000,,
2018,3,Chinese Grand Prix,2018-04-15,27,HUL,hulkenberg,Nico Hulkenberg,Renault,7.0,,,0 days 00:01:33.545000,0 days 00:01:32.494000,0 days 00:01:32.532000,,
2018,3,Chinese Grand Prix,2018-04-15,11,PER,perez,Sergio Perez,Force India,8.0,,,0 days 00:01:33.464000,0 days 00:01:32.931000,0 days 00:01:32.758000,,
2018,3,Chinese Grand Prix,2018-04-15,55,SAI,sainz,Carlos Sainz,Renault,9.0,,,0 days 00:01:33.315000,0 days 00:01:32.970000,0 days 00:01:32.819000,,
2018,3,Chinese Grand Prix,2018-04-15,8,GRO,grosjean,Romain Grosjean,Haas F1 Team,10.0,,,0 days 00:01:33.238000,0 days 00:01:32.524000,0 days 00:01:32.855000,,
2018,3,Chinese Grand Prix,2018-04-15,20,MAG,kevin_magnussen,Kevin Magnussen,Haas F1 Team,11.0,,,0 days 00:01:33.359000,0 days 00:01:32.986000,,,
2018,3,Chinese Grand Prix,2018-04-15,31,OCO,ocon,Esteban Ocon,Force India,12.0,,,0 days 00:01:33.585000,0 days 00:01:33.057000,,,
2018,3,Chinese Grand Prix,2018-04-15,14,ALO,alonso,Fernando Alonso,McLaren,13.0,,,0 days 00:01:33.428000,0 days 00:01:33.232000,,,
2018,3,Chinese Grand Prix,2018-04-15,2,VAN,vandoorne,Stoffel Vandoorne,McLaren,14.0,,,0 days 00:01:33.824000,0 days 00:01:33.505000,,,
2018,3,Chinese Grand Prix,2018-04-15,28,HAR,brendon_hartley,Brendon Hartley,Toro Rosso,15.0,,,0 days 00:01:34.013000,0 days 00:01:33.795000,,,
2018,3,Chinese Grand Prix,2018-04-15,35,SIR,sirotkin,Sergey Sirotkin,Williams,16.0,,,0 days 00:01:34.062000,,,,
2018,3,Chinese Grand Prix,2018-04-15,10,GAS,gasly,Pierre Gasly,Toro Rosso,17.0,,,0 days 00:01:34.101000,,,,
2018,3,Chinese Grand Prix,2018-04-15,18,STR,stroll,Lance Stroll,Williams,18.0,,,0 days 00:01:34.285000,,,,
2018,3,Chinese Grand Prix,2018-04-15,16,LEC,leclerc,Charles Leclerc,Sauber,19.0,,,0 days 00:01:34.454000,,,,
2018,3,Chinese Grand Prix,2018-04-15,9,ERI,ericsson,Marcus Ericsson,Sauber,20.0,,,0 days 00:01:34.914000,,,,
2018,4,Azerbaijan Grand Prix,2018-04-29,5,VET,vettel,Sebastian Vettel,Ferrari,1.0,,,0 days 00:01:42.762000,0 days 00:01:43.015000,0 days 00:01:41.498000,,
2018,4,Azerbaijan Grand Prix,2018-04-29,44,HAM,hamilton,Lewis Hamilton,Mercedes,2.0,,,0 days 00:01:42.693000,0 days 00:01:42.676000,0 days 00:01:41.677000,,
2018,4,Azerbaijan Grand Prix,2018-04-29,77,BOT,bottas,Valtteri Bottas,Mercedes,3.0,,,0 days 00:01:43.355000,0 days 00:01:42.679000,0 days 00:01:41.837000,,
2018,4,Azerbaijan Grand Prix,2018-04-29,3,RIC,ricciardo,Daniel Ricciardo,Red Bull Racing,4.0,,,0 days 00:01:42.857000,0 days 00:01:43.482000,0 days 00:01:41.911000,,
2018,4,Azerbaijan Grand Prix,2018-04-29,33,VER,max_verstappen,Max Verstappen,Red Bull Racing,5.0,,,0 days 00:01:42.642000,0 days 00:01:42.901000,0 days 00:01:41.994000,,
2018,4,Azerbaijan Grand Prix,2018-04-29,7,RAI,raikkonen,Kimi Räikkönen,Ferrari,6.0,,,0 days 00:01:42.538000,0 days 00:01:42.510000,0 days 00:01:42.490000,,
2018,4,Azerbaijan Grand Prix,2018-04-29,31,OCO,ocon,Esteban Ocon,Force India,7.0,,,0 days 00:01:43.021000,0 days 00:01:42.967000,0 days 00:01:42.523000,,
2018,4,Azerbaijan Grand Prix,2018-04-29,11,PER,perez,Sergio Perez,Force India,8.0,,,0 days 00:01:43.992000,0 days 00:01:43.366000,0 days 00:01:42.547000,,
2018,4,Azerbaijan Grand Prix,2018-04-29,27,HUL,hulkenberg,Nico Hulkenberg,Renault,9.0,,,0 days 00:01:43.746000,0 days 00:01:43.232000,0 days 00:01:43.066000,,
2018,4,Azerbaijan Grand Prix,2018-04-29,55,SAI,sainz,Carlos Sainz,Renault,10.0,,,0 days 00:01:43.426000,0 days 00:01:43.464000,0 days 00:01:43.351000,,
2018,4,Azerbaijan Grand Prix,2018-04-29,18,STR,stroll,Lance Stroll,Williams,11.0,,,0 days 00:01:44.359000,0 days 00:01:43.585000,,,
2018,4,Azerbaijan Grand Prix,2018-04-29,35,SIR,sirotkin,Sergey Sirotkin,Williams,12.0,,,0 days 00:01:44.261000,0 days 00:01:43.886000,,,
2018,4,Azerbaijan Grand Prix,2018-04-29,14,ALO,alonso,Fernando Alonso,McLaren,13.0,,,0 days 00:01:44.010000,0 days 00:01:44.019000,,,
2018,4,Azerbaijan Grand Prix,2018-04-29,16,LEC,leclerc,Charles Leclerc,Sauber,14.0,,,0 days 00:01:43.752000,0 days 00:01:44.074000,,,
2018,4,Azerbaijan Grand Prix,2018-04-29,20,MAG,kevin_magnussen,Kevin Magnussen,Haas F1 Team,15.0,,,0 days 00:01:43.674000,0 days 00:01:44.759000,,,
2018,4,Azerbaijan Grand Prix,2018-04-29,2,VAN,vandoorne,Stoffel Vandoorne,McLaren,16.0,,,0 days 00:01:44.489000,,,,
2018,4,Azerbaijan Grand Prix,2018-04-29,10,GAS,gasly,Pierre Gasly,Toro Rosso,17.0,,,0 days 00:01:44.496000,,,,
2018,4,Azerbaijan Grand Prix,2018-04-29,9,ERI,ericsson,Marcus Ericsson,Sauber,18.0,,,0 days 00:01:45.541000,,,,
2018,4,Azerbaijan Grand Prix,2018-04-29,28,HAR,brendon_hartley,Brendon Hartley,Toro Rosso,19.0,,,0 days 00:01:57.354000,,,,
2018,4,Azerbaijan Grand Prix,2018-04-29,8,GRO,grosjean,Romain Grosjean,Haas F1 Team,20.0,,,,,,,
2018,5,Spanish Grand Prix,2018-05-13,44,HAM,hamilton,Lewis Hamilton,Mercedes,1.0,,,0 days 00:01:17.633000,0 days 00:01:17.166000,0 days 00:01:16.173000,,
2018,5,Spanish Grand Prix,2018-05-13,77,BOT,bottas,Valtteri Bottas,Mercedes,2.0,,,0 days 00:01:17.674000,0 days 00:01:17.111000,0 days 00:01:16.213000,,
2018,5,Spanish Grand Prix,2018-05-13,5,VET,vettel,Sebastian Vettel,Ferrari,3.0,,,0 days 00:01:17.031000,0 days 00:01:16.802000,0 days 00:01:16.305000,,
2018,5,Spanish Grand Prix,2018-05-13,7,RAI,raikkonen,Kimi Räikkönen,Ferrari,4.0,,,0 days 00:01:17.483000,0 days 00:01:17.071000,0 days 00:01:16.612000,,
2018,5,Spanish Grand Prix,2018-05-13,33,VER,max_verstappen,Max Verstappen,Red Bull Racing,5.0,,,0 days 00:01:17.411000,0 days 00:01:17.266000,0 days 00:01:16.816000,,
2018,5,Spanish Grand Prix,2018-05-13,3,RIC,ricciardo,Daniel Ricciardo,Red Bull Racing,6.0,,,0 days 00:01:17.623000,0 days 00:01:17.638000,0 days 00:01:16.818000,,
2018,5,Spanish Grand Prix,2018-05-13,20,MAG,kevin_magnussen,Kevin Magnussen,Haas F1 Team,7.0,,,0 days 00:01:18.169000,0 days 00:01:17.618000,0 days 00:01:17.676000,,
2018,5,Spanish Grand Prix,2018-05-13,14,ALO,alonso,Fernando Alonso,McLaren,8.0,,,0 days 00:01:18.276000,0 days 00:01:18.100000,0 days 00:01:17.721000,,
2018,5,Spanish Grand Prix,2018-05-13,55,SAI,sainz,Carlos Sainz,Renault,9.0,,,0 days 00:01:18.480000,0 days 00:01:17.803000,0 days 00:01:17.790000,,
2018,5,Spanish Grand Prix,2018-05-13,8,GRO,grosjean,Romain Grosjean,Haas F1 Team,10.0,,,0 days 00:01:18.305000,0 days 00:01:17.699000,0 days 00:01:17.835000,,
2018,5,Spanish Grand Prix,2018-05-13,2,VAN,vandoorne,Stoffel Vandoorne,McLaren,11.0,,,0 days 00:01:18.885000,0 days 00:01:18.323000,,,
2018,5,Spanish Grand Prix,2018-05-13,10,GAS,gasly,Pierre Gasly,Toro Rosso,12.0,,,0 days 00:01:18.550000,0 days 00:01:18.463000,,,
2018,5,Spanish Grand Prix,2018-05-13,31,OCO,ocon,Esteban Ocon,Force India,13.0,,,0 days 00:01:18.813000,0 days 00:01:18.696000,,,
2018,5,Spanish Grand Prix,2018-05-13,16,LEC,leclerc,Charles Leclerc,Sauber,14.0,,,0 days 00:01:18.661000,0 days 00:01:18.910000,,,
2018,5,Spanish Grand Prix,2018-05-13,11,PER,perez,Sergio Perez,Force India,15.0,,,0 days 00:01:18.740000,0 days 00:01:19.098000,,,
2018,5,Spanish Grand Prix,2018-05-13,27,HUL,hulkenberg,Nico Hulkenberg,Renault,16.0,,,0 days 00:01:18.923000,,,,
2018,5,Spanish Grand Prix,2018-05-13,9,ERI,ericsson,Marcus Ericsson,Sauber,17.0,,,0 days 00:01:19.493000,,,,
2018,5,Spanish Grand Prix,2018-05-13,35,SIR,sirotkin,Sergey Sirotkin,Williams,18.0,,,0 days 00:01:19.695000,,,,
2018,5,Spanish Grand Prix,2018-05-13,18,STR,stroll,Lance Stroll,Williams,19.0,,,0 days 00:01:20.225000,,,,
2018,5,Spanish Grand Prix,2018-05-13,28,HAR,brendon_hartley,Brendon Hartley,Toro Rosso,20.0,,,,,,,
2018,6,Monaco Grand Prix,2018-05-27,3,RIC,ricciardo,Daniel Ricciardo,Red Bull Racing,1.0,,,0 days 00:01:12.013000,0 days 00:01:11.278000,0 days 00:01:10.810000,,
2018,6,Monaco Grand Prix,2018-05-27,5,VET,vettel,Sebastian Vettel,Ferrari,2.0,,,0 days 00:01:12.415000,0 days 00:01:11.518000,0 days 00:01:11.039000,,
2018,6,Monaco Grand Prix,2018-05-27,44,HAM,hamilton,Lewis Hamilton,Mercedes,3.0,,,0 days 00:01:12.460000,0 days 00:01:11.584000,0 days 00:01:11.232000,,
2018,6,Monaco Grand Prix,2018-05-27,7,RAI,raikkonen,Kimi Räikkönen,Ferrari,4.0,,,0 days 00:01:12.639000,0 days 00:01:11.391000,0 days 00:01:11.266000,,
2018,6,Monaco Grand Prix,2018-05-27,77,BOT,bottas,Valtteri Bottas,Mercedes,5.0,,,0 days 00:01:12.434000,0 days 00:01:12.002000,0 days 00:01:11.441000,,
2018,6,Monaco Grand Prix,2018-05-27,31,OCO,ocon,Esteban Ocon,Force India,6.0,,,0 days 00:01:13.028000,0 days 00:01:12.188000,0 days 00:01:12.061000,,
2018,6,Monaco Grand Prix,2018-05-27,14,ALO,alonso,Fernando Alonso,McLaren,7.0,,,0 days 00:01:12.657000,0 days 00:01:12.269000,0 days 00:01:12.110000,,
2018,6,Monaco Grand Prix,2018-05-27,55,SAI,sainz,Carlos Sainz,Renault,8.0,,,0 days 00:01:12.950000,0 days 00:01:12.286000,0 days 00:01:12.130000,,
2018,6,Monaco Grand Prix,2018-05-27,11,PER,perez,Sergio Perez,Force India,9.0,,,0 days 00:01:12.848000,0 days 00:01:12.194000,0 days 00:01:12.154000,,
2018,6,Monaco Grand Prix,2018-05-27,10,GAS,gasly,Pierre Gasly,Toro Rosso,10.0,,,0 days 00:01:12.941000,0 days 00:01:12.313000,0 days 00:01:12.221000,,
2018,6,Monaco Grand Prix,2018-05-27,27,HUL,hulkenberg,Nico Hulkenberg,Renault,11.0,,,0 days 00:01:13.065000,0 days 00:01:12.411000,,,
2018,6,Monaco Grand Prix,2018-05-27,2,VAN,vandoorne,Stoffel Vandoorne,McLaren,12.0,,,0 days 00:01:12.463000,0 days 00:01:12.440000,,,
2018,6,Monaco Grand Prix,2018-05-27,35,SIR,sirotkin,Sergey Sirotkin,Williams,13.0,,,0 days 00:01:12.706000,0 days 00:01:12.521000,,,
2018,6,Monaco Grand Prix,2018-05-27,16,LEC,leclerc,Charles Leclerc,Sauber,14.0,,,0 days 00:01:12.829000,0 days 00:01:12.714000,,,
2018,6,Monaco Grand Prix,2018-05-27,8,GRO,grosjean,Romain Grosjean,Haas F1 Team,15.0,,,0 days 00:01:12.930000,0 days 00:01:12.728000,,,
2018,6,Monaco Grand Prix,2018-05-27,28,HAR,brendon_hartley,Brendon Hartley,Toro Rosso,16.0,,,0 days 00:01:13.179000,,,,
2018,6,Monaco Grand Prix,2018-05-27,9,ERI,ericsson,Marcus Ericsson,Sauber,17.0,,,0 days 00:01:13.265000,,,,
2018,6,Monaco Grand Prix,2018-05-27,18,STR,stroll,Lance Stroll,Williams,18.0,,,0 days 00:01:13.323000,,,,
2018,6,Monaco Grand Prix,2018-05-27,20,MAG,kevin_magnussen,Kevin Magnussen,Haas F1 Team,19.0,,,0 days 00:01:13.393000,,,,
2018,6,Monaco Grand Prix,2018-05-27,33,VER,max_verstappen,Max Verstappen,Red Bull Racing,20.0,,,,,,,
2018,7,Canadian Grand Prix,2018-06-10,5,VET,vettel,Sebastian Vettel,Ferrari,1.0,,,0 days 00:01:11.710000,0 days 00:01:11.524000,0 days 00:01:10.764000,,
2018,7,Canadian Grand Prix,2018-06-10,77,BOT,bottas,Valtteri Bottas,Mercedes,2.0,,,0 days 00:01:11.950000,0 days 00:01:11.514000,0 days 00:01:10.857000,,
2018,7,Canadian Grand Prix,2018-06-10,33,VER,max_verstappen,Max Verstappen,Red Bull Racing,3.0,,,0 days 00:01:12.008000,0 days 00:01:11.472000,0 days 00:01:10.937000,,
2018,7,Canadian Grand Prix,2018-06-10,44,HAM,hamilton,Lewis Hamilton,Mercedes,4.0,,,0 days 00:01:11.835000,0 days 00:01:11.740000,0 days 00:01:10.996000,,
2018,7,Canadian Grand Prix,2018-06-10,7,RAI,raikkonen,Kimi Räikkönen,Ferrari,5.0,,,0 days 00:01:11.725000,0 days 00:01:11.620000,0 days 00:01:11.095000,,
2018,7,Canadian Grand Prix,2018-06-10,3,RIC,ricciardo,Daniel Ricciardo,Red Bull Racing,6.0,,,0 days 00:01:12.459000,0 days 00:01:11.434000,0 days 00:01:11.116000,,
2018,7,Canadian Grand Prix,2018-06-10,27,HUL,hulkenberg,Nico Hulkenberg,Renault,7.0,,,0 days 00:01:12.795000,0 days 00:01:11.916000,0 days 00:01:11.973000,,
2018,7,Canadian Grand Prix,2018-06-10,31,OCO,ocon,Esteban Ocon,Force India,8.0,,,0 days 00:01:12.577000,0 days 00:01:12.141000,0 days 00:01:12.084000,,
2018,7,Canadian Grand Prix,2018-06-10,55,SAI,sainz,Carlos Sainz,Renault,9.0,,,0 days 00:01:12.689000,0 days 00:01:12.097000,0 days 00:01:12.168000,,
2018,7,Canadian Grand Prix,2018-06-10,11,PER,perez,Sergio Perez,Force India,10.0,,,0 days 00:01:12.702000,0 days 00:01:12.395000,0 days 00:01:12.671000,,
2018,7,Canadian Grand Prix,2018-06-10,20,MAG,kevin_magnussen,Kevin Magnussen,Haas F1 Team,11.0,,,0 days 00:01:12.680000,0 days 00:01:12.606000,,,
2018,7,Canadian Grand Prix,2018-06-10,28,HAR,brendon_hartley,Brendon Hartley,Toro Rosso,12.0,,,0 days 00:01:12.587000,0 days 00:01:12.635000,,,
2018,7,Canadian Grand Prix,2018-06-10,16,LEC,leclerc,Charles Leclerc,Sauber,13.0,,,0 days 00:01:12.945000,0 days 00:01:12.661000,,,
2018,7,Canadian Grand Prix,2018-06-10,14,ALO,alonso,Fernando Alonso,McLaren,14.0,,,0 days 00:01:12.979000,0 days 00:01:12.856000,,,
2018,7,Canadian Grand Prix,2018-06-10,2,VAN,vandoorne,Stoffel Vandoorne,McLaren,15.0,,,0 days 00:01:12.998000,0 days 00:01:12.865000,,,
2018,7,Canadian Grand Prix,2018-06-10,10,GAS,gasly,Pierre Gasly,Toro Rosso,16.0,,,0 days 00:01:13.047000,,,,
2018,7,Canadian Grand Prix,2018-06-10,18,STR,stroll,Lance Stroll,Williams,17.0,,,0 days 00:01:13.590000,,,,
2018,7,Canadian Grand Prix,2018-06-10,35,SIR,sirotkin,Sergey Sirotkin,Williams,18.0,,,0 days 00:01:13.643000,,,,
2018,7,Canadian Grand Prix,2018-06-10,9,ERI,ericsson,Marcus Ericsson,Sauber,19.0,,,0 days 00:01:14.593000,,,,
2018,7,Canadian Grand Prix,2018-06-10,8,GRO,grosjean,Romain Grosjean,Haas F1 Team,20.0,,,,,,,
2018,8,French Grand Prix,2018-06-24,44,HAM,hamilton,Lewis Hamilton,Mercedes,1.0,,,0 days 00:01:31.271000,0 days 00:01:30.645000,0 days 00:01:30.029000,,
2018,8,French Grand Prix,2018-06-24,77,BOT,bottas,Valtteri Bottas,Mercedes,2.0,,,0 days 00:01:31.776000,0 days 00:01:31.227000,0 days 00:01:30.147000,,
2018,8,French Grand Prix,2018-06-24,5,VET,vettel,Sebastian Vettel,Ferrari,3.0,,,0 days 00:01:31.820000,0 days 00:01:30.751000,0 days 00:01:30.400000,,
2018,8,French Grand Prix,2018-06-24,33,VER,max_verstappen,Max Verstappen,Red Bull Racing,4.0,,,0 days 00:01:31.531000,0 days 00:01:30.818000,0 days 00:01:30.705000,,
2018,8,French Grand Prix,2018-06-24,3,RIC,ricciardo,Daniel Ricciardo,Red Bull Racing,5.0,,,0 days 00:01:31.910000,0 days 00:01:31.538000,0 days 00:01:30.895000,,
2018,8,French Grand Prix,2018-06-24,7,RAI,raikkonen,Kimi Räikkönen,Ferrari,6.0,,,0 days 00:01:31.567000,0 days 00:01:30.772000,0 days 00:01:31.057000,,
2018,8,French Grand Prix,2018-06-24,55,SAI,sainz,Carlos Sainz,Renault,7.0,,,0 days 00:01:32.394000,0 days 00:01:32.016000,0 days 00:01:32.126000,,
2018,8,French Grand Prix,2018-06-24,16,LEC,leclerc,Charles Leclerc,Sauber,8.0,,,0 days 00:01:32.538000,0 days 00:01:32.055000,0 days 00:01:32.635000,,
2018,8,French Grand Prix,2018-06-24,20,MAG,kevin_magnussen,Kevin Magnussen,Haas F1 Team,9.0,,,0 days 00:01:32.169000,0 days 00:01:31.510000,0 days 00:01:32.930000,,
2018,8,French Grand Prix,2018-06-24,8,GRO,grosjean,Romain Grosjean,Haas F1 Team,10.0,,,0 days 00:01:32.083000,0 days 00:01:31.472000,,,
2018,8,French Grand Prix,2018-06-24,31,OCO,ocon,Esteban Ocon,Force India,11.0,,,0 days 00:01:32.786000,0 days 00:01:32.075000,,,
2018,8,French Grand Prix,2018-06-24,27,HUL,hulkenberg,Nico Hulkenberg,Renault,12.0,,,0 days 00:01:32.949000,0 days 00:01:32.115000,,,
2018,8,French Grand Prix,2018-06-24,11,PER,perez,Sergio Perez,Force India,13.0,,,0 days 00:01:32.692000,0 days 00:01:32.454000,,,
2018,8,French Grand Prix,2018-06-24,10,GAS,gasly,Pierre Gasly,Toro Rosso,14.0,,,0 days 00:01:32.447000,0 days 00:01:32.460000,,,
2018,8,French Grand Prix,2018-06-24,9,ERI,ericsson,Marcus Ericsson,Sauber,15.0,,,0 days 00:01:32.804000,0 days 00:01:32.820000,,,
2018,8,French Grand Prix,2018-06-24,14,ALO,alonso,Fernando Alonso,McLaren,16.0,,,0 days 00:01:32.976000,,,,
2018,8,French Grand Prix,2018-06-24,28,HAR,brendon_hartley,Brendon Hartley,Toro Rosso,17.0,,,0 days 00:01:33.025000,,,,
2018,8,French Grand Prix,2018-06-24,2,VAN,vandoorne,Stoffel Vandoorne,McLaren,18.0,,,0 days 00:01:33.162000,,,,
